Rafaela Carroll#79289.71#0.89#1
Donette Wilkinson#29622.17#0.95#8
Hong Senger#99735.37#0.59#1
Kim Dibbert#64012.72#0.35#6
Ruben Ferry#54201.26#0.1#1
Blaine Towne#27934.9#0.53#7
Larue Kulas#83996.74#0.21#3
Myron Steuber#36260.42#0.18#4
Le Frami#31615.46#0.99#7
Polly Beatty#90703.2#0.43#5
Floyd Hansen#44757.48#0.8#7
Moshe Nitzsche#42528.68#0.75#6
Lorrie Anderson#61488.92#0.21#7
Christen Kuhn#88642.36#0.79#4
Marx Gottlieb#61002.4#0.6#7
Raphael Adams#47624.35#0.58#5
Bobby Gerhold#23357.16#0.1#4
Clayton Romaguera#83637.92#0.88#5
Robbin Harris#23019.02#0.1#8
Gracia Hessel#96079.04#0.66#7
Dave Wuckert#29717.65#0.49#5
Lida Rippin#10800.44#0.62#8
Aron Deckow#79716.23#0.82#8
Margurite Hayes#84270.22#0.73#2
William Murphy#77243.19#0.99#7
Wally Mraz#89085.09#0.73#1
Avelina Bednar#94096.51#0.32#1
Luigi Nader#37505.03#0.1#9
Mauricio Cartwright#63885.2#0.74#8
Adeline Marvin#3900.53#0.49#5
Quinton Bahringer#5381.92#0.9#8
Flavia Douglas#26749.82#0.55#3
Luella Schroeder#84006.2#0.89#8
May Wiegand#87759.76#0.66#6
Terrance Bartell#5367.32#0.29#2
Damaris Boyer#6906.86#0.1#9
Mauro Brekke#12771.98#0.67#1
Anton Koss#13324.07#0.72#8
Brittaney Bins#91527.67#0.47#9
Gerald Keeling#4446.43#0.25#7
Herb Thiel#10077.18#0.95#9
Inge Tremblay#18585.47#0.1#10
Jeffery Friesen#57212.36#0.54#4
Roosevelt Morar#42128.25#0.43#3
Luanne Lang#48527.66#0.21#9
Davina Jenkins#56911.8#0.67#5
Dennis Heidenreich#99703.6#0.69#10
Harris Harris#29387.39#0.69#7
Kyle Gutmann#80025.47#0.22#7
Alec Connelly#19792.08#0.93#6
Cyrus Bernier#57595.85#0.27#5
Corie Friesen#12170.96#0.22#3
Bennett Bartoletti#52175.99#0.68#1
Isaac Braun#20981.7#0.4#10
Lenore Parisian#50278.39#0.9#7
Jordan Rohan#10615.19#0.49#1
Estella Dibbert#15254.2#0.23#5
Demarcus Mayert#75032.87#0.71#8
Isabell Rowe#62497.15#0.65#7
Serafina O'Reilly#48527.81#0.15#7
Kirk Huel#89330.39#0.1#6
Susann Hermiston#7644.43#0.23#8
Bruce Reichel#57069.47#0.47#9
Darrell Hayes#18333.9#0.8#10
Tobie Considine#5000.0#0.84#4
Johnsie Bahringer#20675.95#0.14#6
Refugio Dibbert#77673.86#0.8#7
Benito Tillman#28660.73#0.34#8
Pedro Daniel#33948.21#0.26#2
Phillip Considine#10909.56#0.72#3
Mario Schamberger#22896.98#0.24#3
Alphonso Trantow#50348.81#0.1#10
Arnoldo Rogahn#36499.72#0.2#7
Rosy Schmitt#32632.67#0.1#3
Janie Bruen#91864.26#0.53#3
Charlotte Heller#38213.88#0.54#4
Jerrell Walker#12111.38#0.82#6
Beverlee Lesch#62845.27#0.46#9
Miyoko Gleason#63093.47#0.1#8
Jeanne Boyle#39742.54#0.6#10
Racheal Quitzon#90026.91#0.76#3
Harriett Bogisich#5000.0#0.21#1
Milford Cartwright#21791.0#0.65#3
Leo Tremblay#64040.14#0.46#5
Gaylord Stehr#92606.7#0.79#7
Era Klocko#32949.12#0.1#10
Cordelia Barton#79567.59#0.23#3
Paris Waters#32282.13#0.16#9
Forest Oberbrunner#53364.48#0.56#3
Judith Leffler#22590.37#0.59#4
Cristobal Raynor#75206.8#0.1#8
Celia Swaniawski#48732.35#0.22#3
Rivka Murray#46488.91#0.76#3
Mertie Stehr#83906.5#0.66#9
Pablo Lindgren#29211.48#0.1#9
Christena Batz#54726.93#0.99#9
Joesph Heathcote#30669.62#0.33#10
Shenita Ruecker#76316.16#0.1#9
Genny Rolfson#79727.1#0.1#10
Lawana Schmidt#69089.32#0.65#4
Rosa King#33844.88#0.55#7
Cecily Gerlach#85058.38#0.74#9
Kayleigh Anderson#17257.86#0.22#2
Kerry Shields#91008.25#0.52#4
Roberto Wehner#50801.34#0.57#5
Kacey Sauer#44480.24#0.22#2
Sharan Heidenreich#82323.12#0.94#3
Shane McCullough#85809.43#0.8#7
Alexia Spinka#52637.58#0.32#2
Mickey McCullough#61169.18#0.32#8
Larraine Berge#98634.34#0.1#3
Cheree Kutch#82177.38#0.1#5
Zulma Olson#21520.37#0.44#1
Maria Funk#16634.12#0.77#7
Ollie Gerlach#97103.0#0.93#5
Helga Hettinger#49693.51#0.48#5
Elisabeth Schroeder#5000.0#0.28#4
Darryl Pacocha#8480.28#0.48#2
Teresa McKenzie#88428.87#0.34#2
Hollis Kulas#68069.23#0.37#1
Arcelia Hyatt#70535.16#0.1#7
Marc Kovacek#67000.01#0.11#9
Hoyt Marks#67387.51#0.83#10
Tasha Mayert#40751.33#0.56#1
Nancie Mohr#68607.02#0.46#5
Ashley Boyle#42554.16#0.17#6
Andre Rowe#66271.64#0.1#1
Walter Windler#93804.96#0.1#7
Shoshana Medhurst#33907.59#0.91#1
Priscila Conn#43846.25#0.99#4
Latrice Runolfsdottir#12090.6#0.78#5
Gregorio Monahan#60844.91#0.19#9
Carmelo Labadie#49071.77#0.1#4
Rosario Von#53058.78#0.84#10
Shirl Ullrich#8755.02#0.16#4
Shandi Green#12557.36#0.63#6
Patrick Windler#58679.1#0.37#9
Hermila Volkman#99752.09#0.76#8
Levi Morar#46044.19#0.91#6
Bennie Strosin#97864.68#0.2#2
Aurora Padberg#48906.52#0.91#4
Isaias Stamm#29411.05#0.55#5
Hector Feeney#98954.76#0.56#2
Adella Wilkinson#27428.9#0.51#5
Shane Fadel#83551.05#0.18#8
Gerald Wyman#6612.68#0.94#5
Kati Brekke#99160.32#0.95#10
Rene Cronin#29923.1#0.12#2
Erick Stark#92831.49#0.68#8
Randy Franecki#88093.33#0.62#1
Shawnta Altenwerth#42682.03#0.87#5
Hui Runolfsdottir#29842.71#0.52#2
Chung Block#49050.39#0.81#2
Hue Predovic#42692.04#0.83#9
Zelma Lang#10202.72#0.18#3
Bill Swift#41663.41#0.92#5
Bernardo Torp#90058.64#0.11#7
Claudio Tillman#77475.76#0.86#8
Lynwood Reichert#67286.94#0.61#1
Mario Beer#9523.11#0.98#8
Wilfred Bartoletti#66834.81#0.96#3
Raphael Bogan#10613.53#0.7#9
Roger Schroeder#37443.98#0.35#8
Elliott Daniel#81519.69#0.27#4
Cheryl Sauer#64995.88#0.97#8
Elizabet Gulgowski#59122.27#0.1#6
Dani Mitchell#90651.27#0.78#7
Ashely Conn#31942.46#0.87#2
Sixta Franecki#46638.68#0.99#2
Myrtie Grant#44884.96#0.95#4
Floria Cormier#10612.91#0.1#2
Keira Thiel#98627.5#0.29#8
Melany Smith#63824.92#0.74#4
Basil Cummerata#65827.41#0.38#8
Yasmin McCullough#25448.78#0.31#8
Deangelo Goldner#3037.33#0.67#5
Wesley Crist#38834.28#0.7#9
Jolynn Jones#95386.94#0.86#9
Vance Emmerich#46291.3#0.1#4
Lane Predovic#61072.73#0.17#2
Gil Feeney#89897.77#0.37#2
Quincy Schulist#16025.74#0.94#3
